epoch,train_loss,val_rmse
1,9049.41219554228,93.20911407470703
2,7922.560173483456,86.18224334716797
3,6636.783892463235,77.91143798828125
4,5265.733958524816,68.0316162109375
5,3884.592191808364,57.13116455078125
6,2665.79935948989,45.83305358886719
7,1581.692440257353,32.507266998291016
8,789.1516454360064,21.916301727294922
9,422.4312851849724,15.269295692443848
10,317.5016299977022,13.468496322631836
11,307.9253988826976,15.14958381652832
12,293.6676317102769,13.462621688842773
13,274.2854098151712,13.674469947814941
14,270.1623360128964,13.056573867797852
15,265.36907285802505,13.608707427978516
16,257.8769612031824,12.52464771270752
17,256.86130613439224,12.708569526672363
18,259.106253231273,12.82711410522461
19,250.51492668600645,14.126239776611328
20,248.10294342041016,12.772029876708984
21,238.73821976605583,13.529908180236816
22,240.9321778241326,13.2923002243042
23,228.86690296846277,13.561426162719727
24,230.39080406637754,13.066811561584473
