epoch,train_loss,val_rmse
1,9929.27451171875,98.1221923828125
2,8454.641247558593,89.181884765625
3,6741.371984863281,78.11180877685547
4,4968.523486328125,66.1715316772461
5,3372.235382080078,53.06315231323242
6,1940.7048736572265,38.498165130615234
7,870.9561920166016,22.61861801147461
8,406.46382904052734,17.475730895996094
9,342.59834442138674,14.146233558654785
10,304.03419914245603,13.633282661437988
11,299.1297550201416,14.949398040771484
12,287.0046104431152,13.68032455444336
13,272.56819915771484,14.575748443603516
14,269.6008930206299,12.907246589660645
15,267.13139686584475,11.117745399475098
16,257.2233348846436,12.818382263183594
17,249.17030906677246,11.11620807647705
18,246.76290550231934,10.992456436157227
19,238.49712600708008,12.024955749511719
20,240.3777763366699,11.296980857849121
21,233.42807807922364,10.89948558807373
22,237.65095710754395,13.495109558105469
23,229.2060234069824,12.17660140991211
24,226.44845275878907,12.708900451660156
25,225.6507080078125,11.376847267150879
