RMSE,MAE,PHM08,n,subset,model,train_time_s
44.9289274355377,38.141544342041016,153229.25031441386,259,FD002,Mean,0.0
18.03705512732097,14.430588722229004,14380.576704907842,259,FD002,Ridge,0.04
15.13954761872393,10.814617156982422,11045.097382542885,259,FD002,XGBoost,19.1
14.907427468002084,10.556810444631617,11489.0568606907,259,FD002,LightGBM,23.64
