RMSE,MAE,PHM08,n,subset,model,train_time_s
45.565171067967306,38.05916976928711,189682.81394158723,248,FD004,Mean,0.0
21.362045913611233,17.40502166748047,8086.175084602047,248,FD004,Ridge,1.23
16.628951671449595,12.079050064086914,4879.103479700155,248,FD004,XGBoost,19.32
16.496812615813035,11.953093004538404,4892.512213281905,248,FD004,LightGBM,23.91
